Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS,,Awards
25,2018,NBA,1,25,LAL,Moritz Wagner\wagnemo01,21.061,F-C,de,University of Michigan,2019,2019,38,9.3,4.4,1.8,0.6,0.2,0.3,.419,.529,.303,.780,0.2,.028,Career,Michigan,,107,77,21.0,3.9,7.2,.547,2.9,4.5,.643,1.0,2.7,.385,1.5,2.2,.698,1.2,3.3,4.5,0.5,0.8,0.4,1.2,2.5,10.4,,9.16,,
26,2018,NBA,1,26,PHI,Landry Shamet\shamela01,21.105,G,us,Wichita State University,2019,2019,75,22.5,9.1,1.6,1.4,0.5,0.1,.429,.457,.418,.835,3.4,.098,Career,Wichita State,,71,68,28.6,4.2,8.7,.480,1.9,3.6,.542,2.2,5.1,.437,2.3,2.8,.811,0.5,2.5,3.0,4.1,0.8,0.2,1.5,2.1,12.9,,4.22
27,2018,NBA,1,27,BOS,Robert Williams\williro04,20.252,F,us,Texas A&M University,2019,2019,30,8.3,2.5,2.3,0.2,0.3,1.2,.717,.717,,.643,1.1,.209,Career,Texas A&M,,61,40,25.7,4.8,8.1,.591,4.8,7.6,.624,0.0,0.5,.067,1.5,2.8,.541,2.7,6.0,8.7,1.4,0.7,2.5,1.7,2.0,11.1,,9.29
28,2018,NBA,1,28,GSW,Jacob Evans\evansja02,21.008,G-F,us,University of Cincinnati,2019,2019,27,5.0,0.8,0.6,0.6,0.0,0.0,.303,.360,.125,.000,-0.2,-0.067,Career,Cincinnati,,105,80,29.1,4.0,9.4,.429,2.4,5.0,.476,1.7,4.4,.377,2.0,2.7,.755,1.3,3.0,4.3,2.5,1.1,0.9,1.3,2.0,11.7,,4.75
29,2018,NBA,1,29,BRK,Dzanan Musa\musadz01,19.049,G-F,ba,,2019,2019,8,4.3,2.0,0.5,0.1,0.3,0.0,.400,.727,.000,.000,-0.2,-0.225,NA
30,2018,NBA,1,30,ATL,Omari Spellman\spellom01,20.340,F,us,Villanova University,2019,2019,46,17.5,5.9,4.2,1.0,0.6,0.5,.402,.466,.344,.711,1.2,.072,Career,Villanova,,40,39,28.1,4.0,8.4,.476,2.4,4.7,.511,1.6,3.8,.433,1.2,1.8,.700,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3,10.9,,10.24
31,2017,NBA,1,1,PHI,Markelle Fultz\fultzma01,19.029,G,us,University of Washington,2018,2019,33,20.6,7.7,3.4,3.4,0.9,0.3,.414,.422,.267,.534,0.6,.039,Career,Washington,,25,25,35.7,8.4,17.6,.476,6.3,12.5,.502,2.1,5.0,.413,4.4,6.7,.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,,6.82
32,2017,NBA,1,2,LAL,Lonzo Ball\balllo01,19.243,G,us,University of California Los Angeles,2018,2019,99,32.4,10.0,6.2,6.4,1.6,0.6,.380,.449,.315,.437,3.5,.053,Career,UCLA,,36,36,35.1,5.3,9.5,.551,3.0,4.1,.732,2.2,5.4,.412,1.8,2.7,.673,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,,6.39
33,2017,NBA,1,3,BOS,Jayson Tatum\tatumja01,19.116,F,us,Duke University,2018,2019,156,30.9,14.9,5.5,1.9,1.0,0.7,.463,.488,.402,.841,12.0,.120,Career,Duke,,29,27,33.3,5.7,12.6,.452,4.3,8.6,.504,1.4,4.0,.342,4.1,4.8,.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,,10.91
34,2017,NBA,1,4,PHO,Josh Jackson\jacksjo02,20.137,F-G,us,University of Kansas,2018,2019,152,25.0,12.1,4.4,1.9,1.0,0.6,.415,.456,.290,.651,-2.3,-0.029,Career,Kansas,,35,35,30.8,6.3,12.3,.513,5.3,9.7,.549,1.0,2.6,.378,2.8,4.9,.566,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,,12.23
